"turn","color","output","condition","time","score","note"
"BR01","azzurro","capital","pre","0",10,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","1",40,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","2",70,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","3",100,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","4",130,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","5",160,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","6",190,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","7",220,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","8",260,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","9",320,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","10",380,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","11",440,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","12",500,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","13",560,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","14",620,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","15",1040,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","16",1500,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","17",1920,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","18",1880,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","19",1950,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","20",1950,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","21",2010,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","22",3020,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","23",3100,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","24",2780,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","25",2030,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","26",930,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","27",550,"used malus 100 Euro costante"
"BR01","azzurro","capital","pre","28",230,"used malus 100 Euro costante"
"BR01","azzurro","ccr","pre","0",0,"used malus 100 Euro costante"
"BR01","azzurro","ccr","pre","1",0,"used malus 100 Euro costante"
"BR01","azzurro","ccr","pre","2",0,"used malus 100 Euro costante"
"BR01","azzurro","ccr","pre","3",0,"used malus 100 Euro costante"
"BR01","azzurro","ccr","pre","4",0,"used malus 100 Euro costante"
"BR01","azzurro","ccr","pre","5",0,"used malus 100 Euro costante"
"BR01","azzurro","ccr","pre","6",0,"used malus 100 Euro costante"
