"turn","color","output","condition","time","score"
"BR04","azzurro","capital","pre","0",10
"BR04","azzurro","capital","pre","1",40
"BR04","azzurro","capital","pre","2",70
"BR04","azzurro","capital","pre","3",100
"BR04","azzurro","capital","pre","4",130
"BR04","azzurro","capital","pre","5",160
"BR04","azzurro","capital","pre","6",190
"BR04","azzurro","capital","pre","7",220
"BR04","azzurro","capital","pre","8",270
"BR04","azzurro","capital","pre","9",330
"BR04","azzurro","capital","pre","10",390
"BR04","azzurro","capital","pre","11",450
"BR04","azzurro","capital","pre","12",510
"BR04","azzurro","capital","pre","13",570
"BR04","azzurro","capital","pre","14",590
"BR04","azzurro","capital","pre","15",500
"BR04","azzurro","capital","pre","16",590
"BR04","azzurro","capital","pre","17",640
"BR04","azzurro","capital","pre","18",690
"BR04","azzurro","capital","pre","19",740
"BR04","azzurro","capital","pre","20",790
"BR04","azzurro","capital","pre","21",840
"BR04","azzurro","capital","pre","22",610
"BR04","azzurro","capital","pre","23",720
"BR04","azzurro","capital","pre","24",790
"BR04","azzurro","capital","pre","25",820
"BR04","azzurro","capital","pre","26",810
"BR04","azzurro","capital","pre","27",760
"BR04","azzurro","capital","pre","28",710
"BR04","azzurro","ccr","pre","0",0
"BR04","azzurro","ccr","pre","1",0
"BR04","azzurro","ccr","pre","2",0
"BR04","azzurro","ccr","pre","3",0
"BR04","azzurro","ccr","pre","4",0
"BR04","azzurro","ccr","pre","5",0
"BR04","azzurro","ccr","pre","6",0
"BR04","azzurro","ccr","pre","7",0
"BR04","azzurro","ccr","pre","8",0
"BR04","azzurro","ccr","pre","9",0
"BR04","azzurro","ccr","pre","10",0
"BR04","azzurro","ccr","pre","11",0
"BR04","azzurro","ccr","pre","12",0
"BR04","azzurro","ccr","pre","13",0
"BR04","azzurro","ccr","pre","14",0
"BR04","azzurro","ccr","pre","15",160
"BR04","azzurro","ccr","pre","16",160
"BR04","azzurro","ccr","pre","17",160
"BR04","azzurro","ccr","pre","18",160
"BR04","azzurro","ccr","pre","19",160
"BR04","azzurro","ccr","pre","20",160
"BR04","azzurro","ccr","pre","21",160
"BR04","azzurro","ccr","pre","22",350
"BR04","azzurro","ccr","pre","23",350
"BR04","azzurro","ccr","pre","24",350
"BR04","azzurro","ccr","pre","25",350
"BR04","azzurro","ccr","pre","26",350
"BR04","azzurro","ccr","pre","27",350
"BR04","azzurro","ccr","pre","28",350
"BR04","azzurro","daysurvived","pre","0",0
"BR04","azzurro","daysurvived","pre","1",1
"BR04","azzurro","daysurvived","pre","2",2
"BR04","azzurro","daysurvived","pre","3",3
"BR04","azzurro","daysurvived","pre","4",4
"BR04","azzurro","daysurvived","pre","5",5
"BR04","azzurro","daysurvived","pre","6",6
"BR04","azzurro","daysurvived","pre","7",7
"BR04","azzurro","daysurvived","pre","8",8
"BR04","azzurro","daysurvived","pre","9",9
"BR04","azzurro","daysurvived","pre","10",10
"BR04","azzurro","daysurvived","pre","11",11
"BR04","azzurro","daysurvived","pre","12",12
"BR04","azzurro","daysurvived","pre","13",13
"BR04","azzurro","daysurvived","pre","14",14
"BR04","azzurro","daysurvived","pre","15",15
"BR04","azzurro","daysurvived","pre","16",16
"BR04","azzurro","daysurvived","pre","17",17
"BR04","azzurro","daysurvived","pre","18",18
"BR04","azzurro","daysurvived","pre","19",19
"BR04","azzurro","daysurvived","pre","20",20
"BR04","azzurro","daysurvived","pre","21",21
"BR04","azzurro","daysurvived","pre","22",22
"BR04","azzurro","daysurvived","pre","23",23
"BR04","azzurro","daysurvived","pre","24",24
"BR04","azzurro","daysurvived","pre","25",25
"BR04","azzurro","daysurvived","pre","26",26
"BR04","azzurro","daysurvived","pre","27",27
"BR04","azzurro","daysurvived","pre","28",28
"BR04","azzurro","energiaaquisita","pre","0",0
"BR04","azzurro","energiaaquisita","pre","1",40
"BR04","azzurro","energiaaquisita","pre","2",80
"BR04","azzurro","energiaaquisita","pre","3",120
"BR04","azzurro","energiaaquisita","pre","4",160
"BR04","azzurro","energiaaquisita","pre","5",200
"BR04","azzurro","energiaaquisita","pre","6",240
"BR04","azzurro","energiaaquisita","pre","7",280
"BR04","azzurro","energiaaquisita","pre","8",360
"BR04","azzurro","energiaaquisita","pre","9",440
"BR04","azzurro","energiaaquisita","pre","10",520
"BR04","azzurro","energiaaquisita","pre","11",600
"BR04","azzurro","energiaaquisita","pre","12",680
"BR04","azzurro","energiaaquisita","pre","13",760
"BR04","azzurro","energiaaquisita","pre","14",800
"BR04","azzurro","energiaaquisita","pre","15",920
"BR04","azzurro","energiaaquisita","pre","16",1040
