"turn","color","output","condition","time","score","note"
"BR05","azzurro","capital","pre","0",10,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","1",40,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","2",70,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","3",100,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","4",130,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","5",160,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","6",190,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","7",220,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","8",270,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","9",360,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","10",450,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","11",500,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","12",550,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","13",600,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","14",650,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","15",690,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","16",840,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","17",990,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","18",1100,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","19",1210,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","20",1280,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","21",1350,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","22",1340,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","23",1580,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","24",1780,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","25",1980,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","26",2140,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","27",2220,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","28",2300,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","29",NA,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","30",NA,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","31",NA,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","32",NA,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","33",NA,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","34",NA,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","capital","pre","35",NA,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","0",0,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","1",0,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","2",0,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","3",0,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","4",0,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","5",0,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","6",0,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","7",0,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","8",20,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","9",20,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","10",20,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","11",20,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","12",20,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","13",20,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","14",20,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","15",80,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","16",80,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","17",80,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","18",80,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","19",80,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","20",80,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","21",80,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","22",200,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","23",200,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","24",200,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","25",200,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","26",200,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","27",200,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","28",200,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","29",NA,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","30",NA,"no malus, rinene 0.35, orig BR04A"
"BR05","azzurro","ccr","pre","31",NA,"no malus, rinene 0.35, orig BR04A"
