"turn","color","output","condition","time","score","note"
"GE01","azzurro","capital","post",0,10,"genova"
"GE01","azzurro","capital","post",1,40,"genova"
"GE01","azzurro","capital","post",2,70,"genova"
"GE01","azzurro","capital","post",3,100,"genova"
"GE01","azzurro","capital","post",4,130,"genova"
"GE01","azzurro","capital","post",5,160,"genova"
"GE01","azzurro","capital","post",6,190,"genova"
"GE01","azzurro","capital","post",7,220,"genova"
"GE01","azzurro","capital","post",8,240,"genova"
"GE01","azzurro","capital","post",9,300,"genova"
"GE01","azzurro","capital","post",10,360,"genova"
"GE01","azzurro","capital","post",11,420,"genova"
"GE01","azzurro","capital","post",12,480,"genova"
"GE01","azzurro","capital","post",13,500,"genova"
"GE01","azzurro","capital","post",14,520,"genova"
"GE01","azzurro","capital","post",15,530,"genova"
"GE01","azzurro","capital","post",16,620,"genova"
"GE01","azzurro","capital","post",17,710,"genova"
"GE01","azzurro","capital","post",18,760,"genova"
"GE01","azzurro","capital","post",19,810,"genova"
"GE01","azzurro","capital","post",20,820,"genova"
"GE01","azzurro","capital","post",21,810,"genova"
"GE01","azzurro","capital","post",22,950,"genova"
"GE01","azzurro","capital","post",23,1190,"genova"
"GE01","azzurro","capital","post",24,1390,"genova"
"GE01","azzurro","capital","post",25,1460,"genova"
"GE01","azzurro","capital","post",26,1380,"genova"
"GE01","azzurro","capital","post",27,1300,"genova"
"GE01","azzurro","capital","post",28,1220,"genova"
"GE01","azzurro","capital","post",29,1350,"genova"
"GE01","azzurro","capital","post",30,1630,"genova"
"GE01","azzurro","capital","post",31,1750,"genova"
"GE01","azzurro","capital","post",32,1750,"genova"
"GE01","azzurro","capital","post",33,1750,"genova"
"GE01","azzurro","capital","post",34,1710,"genova"
"GE01","azzurro","capital","post",35,1630,"genova"
"GE01","azzurro","ccr","post",0,0,"genova"
"GE01","azzurro","ccr","post",1,0,"genova"
"GE01","azzurro","ccr","post",2,0,"genova"
"GE01","azzurro","ccr","post",3,0,"genova"
"GE01","azzurro","ccr","post",4,0,"genova"
"GE01","azzurro","ccr","post",5,0,"genova"
"GE01","azzurro","ccr","post",6,0,"genova"
"GE01","azzurro","ccr","post",7,0,"genova"
"GE01","azzurro","ccr","post",8,30,"genova"
"GE01","azzurro","ccr","post",9,30,"genova"
"GE01","azzurro","ccr","post",10,30,"genova"
"GE01","azzurro","ccr","post",11,30,"genova"
"GE01","azzurro","ccr","post",12,30,"genova"
"GE01","azzurro","ccr","post",13,30,"genova"
"GE01","azzurro","ccr","post",14,30,"genova"
"GE01","azzurro","ccr","post",15,60,"genova"
"GE01","azzurro","ccr","post",16,60,"genova"
"GE01","azzurro","ccr","post",17,60,"genova"
"GE01","azzurro","ccr","post",18,60,"genova"
"GE01","azzurro","ccr","post",19,60,"genova"
"GE01","azzurro","ccr","post",20,60,"genova"
"GE01","azzurro","ccr","post",21,60,"genova"
"GE01","azzurro","ccr","post",22,30,"genova"
"GE01","azzurro","ccr","post",23,30,"genova"
"GE01","azzurro","ccr","post",24,30,"genova"
"GE01","azzurro","ccr","post",25,30,"genova"
"GE01","azzurro","ccr","post",26,30,"genova"
"GE01","azzurro","ccr","post",27,30,"genova"
"GE01","azzurro","ccr","post",28,30,"genova"
"GE01","azzurro","ccr","post",29,110,"genova"
"GE01","azzurro","ccr","post",30,110,"genova"
"GE01","azzurro","ccr","post",31,110,"genova"
"GE01","azzurro","ccr","post",32,110,"genova"
"GE01","azzurro","ccr","post",33,110,"genova"
"GE01","azzurro","ccr","post",34,110,"genova"
"GE01","azzurro","ccr","post",35,110,"genova"
"GE01","azzurro","daysurvived","post",0,0,"genova"
"GE01","azzurro","daysurvived","post",1,1,"genova"
"GE01","azzurro","daysurvived","post",2,2,"genova"
"GE01","azzurro","daysurvived","post",3,3,"genova"
"GE01","azzurro","daysurvived","post",4,4,"genova"
"GE01","azzurro","daysurvived","post",5,5,"genova"
"GE01","azzurro","daysurvived","post",6,6,"genova"
"GE01","azzurro","daysurvived","post",7,7,"genova"
"GE01","azzurro","daysurvived","post",8,8,"genova"
