"turn","color","output","condition","time","score"
"GE01","azzurro","capital","post","day_0",10
"GE01","azzurro","capital","post","day_1",40
"GE01","azzurro","capital","post","day_2",70
"GE01","azzurro","capital","post","day_3",100
"GE01","azzurro","capital","post","day_4",130
"GE01","azzurro","capital","post","day_5",160
"GE01","azzurro","capital","post","day_6",190
"GE01","azzurro","capital","post","day_7",220
"GE01","azzurro","capital","post","day_8",240
"GE01","azzurro","capital","post","day_9",300
"GE01","azzurro","capital","post","day_10",360
"GE01","azzurro","capital","post","day_11",420
"GE01","azzurro","capital","post","day_12",480
"GE01","azzurro","capital","post","day_13",500
"GE01","azzurro","capital","post","day_14",520
"GE01","azzurro","capital","post","day_15",530
"GE01","azzurro","capital","post","day_16",620
"GE01","azzurro","capital","post","day_17",710
"GE01","azzurro","capital","post","day_18",760
"GE01","azzurro","capital","post","day_19",810
"GE01","azzurro","capital","post","day_20",820
"GE01","azzurro","capital","post","day_21",810
"GE01","azzurro","capital","post","day_22",950
"GE01","azzurro","capital","post","day_23",1190
"GE01","azzurro","capital","post","day_24",1390
"GE01","azzurro","capital","post","day_25",1460
"GE01","azzurro","capital","post","day_26",1380
"GE01","azzurro","capital","post","day_27",1300
"GE01","azzurro","capital","post","day_28",1220
"GE01","azzurro","capital","post","day_29",1350
"GE01","azzurro","capital","post","day_30",1630
"GE01","azzurro","capital","post","day_31",1750
"GE01","azzurro","capital","post","day_32",1750
"GE01","azzurro","capital","post","day_33",1750
"GE01","azzurro","capital","post","day_34",1710
"GE01","azzurro","capital","post","day_35",1630
"GE01","azzurro","ccr","post","day_0",0
"GE01","azzurro","ccr","post","day_1",0
"GE01","azzurro","ccr","post","day_2",0
"GE01","azzurro","ccr","post","day_3",0
"GE01","azzurro","ccr","post","day_4",0
"GE01","azzurro","ccr","post","day_5",0
"GE01","azzurro","ccr","post","day_6",0
"GE01","azzurro","ccr","post","day_7",0
"GE01","azzurro","ccr","post","day_8",30
"GE01","azzurro","ccr","post","day_9",30
"GE01","azzurro","ccr","post","day_10",30
"GE01","azzurro","ccr","post","day_11",30
"GE01","azzurro","ccr","post","day_12",30
"GE01","azzurro","ccr","post","day_13",30
"GE01","azzurro","ccr","post","day_14",30
"GE01","azzurro","ccr","post","day_15",60
"GE01","azzurro","ccr","post","day_16",60
"GE01","azzurro","ccr","post","day_17",60
"GE01","azzurro","ccr","post","day_18",60
